2023-02-15 15:43:40,778 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 15:48:15,372 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 15:48:17,969 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 15:50:59,482 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 15:52:18,879 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-02-15 15:52:18,903 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-02-15 15:52:18,907 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-15 15:54:43,300 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 15:54:43,307 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 15:54:43,312 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 15:54:45,886 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:00:49,392 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:00:49,392 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:00:57,201 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 16:00:57,201 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 16:00:57,201 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 16:00:57,201 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 16:00:57,202 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:00:57,202 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:00:59,728 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:00:59,728 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:04:05,961 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:04:05,961 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:05:03,573 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:05:03,573 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:05:06,059 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:05:06,059 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:08:04,181 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:08:04,181 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:10:46,242 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 16:10:46,242 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 16:10:46,242 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 16:10:46,244 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 16:10:46,244 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 16:10:46,244 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 16:10:46,245 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 16:10:46,245 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 16:10:46,245 | MainThread   | [WARNING ] | __del__             |: Could not delete BaseBLEController instance before exiting
2023-02-15 16:10:46,270 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 16:10:46,270 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 16:10:46,270 | MainThread   | [WARNING ] | __del__             |: Not connected to a BLE device
2023-02-15 16:10:46,275 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:10:46,275 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:10:46,275 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:10:49,294 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:10:49,294 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:10:49,294 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:17:08,959 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:17:08,959 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:17:08,959 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:47:52,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:47:52,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:47:52,963 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:47:55,439 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:47:55,439 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:47:55,439 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:50:11,271 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:50:11,271 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:50:11,271 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 16:50:36,488 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:50:36,488 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:50:36,488 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 16:50:39,090 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:50:39,090 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 16:50:39,090 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 17:02:35,445 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 17:02:35,445 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 17:02:35,445 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:34:25,439 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:34:25,440 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:34:25,440 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:34:52,580 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:34:56,412 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:35:02,913 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:35:11,158 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:35:14,738 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:42:23,859 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:49:41,608 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:49:41,622 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:49:41,624 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:49:44,237 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:52:09,437 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:52:21,465 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:52:23,940 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:54:31,812 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:56:37,839 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:56:37,839 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-15 23:56:37,842 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:56:37,842 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-15 23:56:37,843 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:56:37,843 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-15 23:56:40,680 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:56:40,680 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-02-15 23:57:29,766 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:57:29,766 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
2023-02-15 23:57:29,766 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from AB6C95E9-A4ED-4F7A-B208-0AFEAFDDA3AD
