2023-02-02 15:25:21,472 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-02-02 15:25:25,247 | MainThread   | [DEBUG   ] | <module>            |: debug
2023-02-02 15:25:25,248 | MainThread   | [INFO    ] | <module>            |: info
2023-02-02 15:25:25,252 | MainThread   | [WARNING ] | <module>            |: warning
2023-02-02 15:25:25,254 | MainThread   | [ERROR   ] | <module>            |: error
2023-02-02 15:25:25,264 | MainThread   | [CRITICAL] | <module>            |: critical
2023-02-02 15:25:25,451 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=7, micro=6, releaselevel='final', serial=0)
2023-02-02 15:25:25,451 | MainThread   | [DEBUG   ] | __init__            |: System Info: Darwin-19.3.0-x86_64-i386-64bit
2023-02-02 15:25:25,453 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:25:35,696 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:25:36,702 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:25:36,703 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:25:46,715 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:25:47,722 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:25:47,724 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:25:57,736 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:25:58,742 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:28:08,704 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:28:18,717 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:28:19,721 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2023-02-02 15:28:19,722 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-02-02 15:28:29,732 | MainThread   | [ERROR   ] | _connect            |: Device with address C0:83:D5:66:86:3C was not found
2023-02-02 15:28:30,741 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
