2023-05-12 00:53:53,839 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 00:53:58,650 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 00:54:01,128 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 00:55:49,140 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 00:56:02,300 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 00:56:10,892 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:02:05,164 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:02:14,854 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:02:19,348 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:02:45,639 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:03:12,982 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:03:15,837 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:04:18,504 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:04:24,000 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:04:26,533 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:08:11,382 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-12 01:08:12,393 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:08:14,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:08:27,128 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:08:29,711 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:08:44,232 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-12 01:09:24,698 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:11:02,140 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:11:04,616 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:12:05,700 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:12:09,403 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:12:13,855 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:14:11,691 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:14:15,350 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:14:38,348 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:14:40,823 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:14:45,318 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2023-05-12 01:14:58,659 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:16:28,535 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:16:40,899 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:17:07,109 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:17:26,816 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:17:29,470 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:18:23,156 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:19:02,778 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:19:07,327 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:19:19,854 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:26:15,886 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:26:18,412 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 01:28:29,395 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 01:28:33,926 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 01:28:38,600 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 03:10:17,756 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2023-05-12 03:10:17,760 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2023-05-12 03:10:17,760 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2023-05-12 11:51:10,359 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=6, releaselevel='final', serial=0)
2023-05-12 11:51:10,359 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-13.0-arm64-arm-64bit
2023-05-12 11:51:10,360 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 11:51:12,964 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 11:55:09,238 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 11:55:12,807 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:01:01,738 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:01:22,239 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:01:35,856 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:03:16,616 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:03:19,317 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 12:03:55,584 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 12:07:49,388 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 12:07:53,878 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 12:08:42,250 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:09:22,174 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=6, releaselevel='final', serial=0)
2023-05-12 13:09:22,175 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-13.0-arm64-arm-64bit
2023-05-12 13:09:22,175 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:09:28,864 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:10:39,746 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:10:48,610 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:10:51,171 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:11:18,324 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:13:46,075 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:13:48,543 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:14:19,068 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:16:07,718 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:16:10,296 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:18:24,164 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:18:44,491 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:18:47,059 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:21:16,636 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:21:24,138 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:21:32,717 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:24:39,529 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:24:44,903 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:25:20,088 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:25:37,341 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:26:21,036 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:26:48,374 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:26:51,092 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:30:14,086 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:30:28,965 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:30:31,621 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:36:44,516 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
2023-05-12 13:37:00,143 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:D5:66:86:3C
2023-05-12 13:37:02,667 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:D5:66:86:3C
2023-05-12 13:39:50,045 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 9FB4D05A-FE1D-DF59-F920-0B9FD132922D
